id	submission_id	user	username	userImageURL	downloadURL	hyperparameter	description	result	last	final	accuracy	f1
16	1396	67	"김경민_T1008"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000001/Users/00000067/Submissions/0016/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210408%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210408T131451Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=02b3ce00b1ff008e1b1aeed62e0a96166c440cde8a202d160d3f7883beb3c436"	"{\"training\": {}, \"inference\": {}}"	"vgg16 momentum : lr 0.001"	"{\"accuracy\": {\"value\": \"77.5200%\", \"rank\": false, \"decs\": true}, \"f1\": {\"value\": \"0.7200\", \"rank\": true, \"decs\": true}}"	"2021-04-01T20:47:41.159522+09:00"	true	"77.5200%"	"0.7200"
19	2022	67	"김경민_T1008"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000001/Users/00000067/Submissions/0019/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210408%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210408T131451Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=ad51d1dc0a1f820eecac97a92749577975e639c3a4fa8e126d2d528a72df4dda"	"{\"training\": {}, \"inference\": {}}"	"sub11 vgg16 momentum lr 0.001 epoch 5"	"{\"accuracy\": {\"value\": \"77.5238%\", \"rank\": false, \"decs\": true}, \"f1\": {\"value\": \"0.7164\", \"rank\": true, \"decs\": true}}"	"2021-04-03T00:17:44.290864+09:00"	false	"77.5238%"	"0.7164"
24	5950	67	"김경민_T1008"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000001/Users/00000067/Submissions/0024/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210408%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210408T131451Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=c8411df762902a7754f64fe19d7ba87e4f5bfd50b9d6888d956d4d4f616fede9"	"{\"training\": {}, \"inference\": {}}"	"sub18 : epoch 5, momentum, lr=0.001,  no HueSaturationValue, no RandomBrightnessContrast"	"{\"accuracy\": {\"value\": \"76.6349%\", \"rank\": false, \"decs\": true}, \"f1\": {\"value\": \"0.6928\", \"rank\": true, \"decs\": true}}"	"2021-04-08T11:54:58.393416+09:00"	false	"76.6349%"	"0.6928"
22	5448	67	"김경민_T1008"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000001/Users/00000067/Submissions/0022/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210408%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210408T131451Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=a8f78da10612877bd3d99f44ecde5771fd6304df5126d971671a92e3f48bf015"	"{\"training\": {}, \"inference\": {}}"	"sub16 efficient momentum lr 0.001 epoch 5"	"{\"accuracy\": {\"value\": \"75.7619%\", \"rank\": false, \"decs\": true}, \"f1\": {\"value\": \"0.6926\", \"rank\": true, \"decs\": true}}"	"2021-04-07T23:53:45.171188+09:00"	false	"75.7619%"	"0.6926"
25	6003	67	"김경민_T1008"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000001/Users/00000067/Submissions/0025/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210408%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210408T131451Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=c048c90bbfc4da46e79c88025ec85e54fbe6260ddef8ddb268b13cc4a13a9b67"	"{\"training\": {}, \"inference\": {}}"	"sub19 : efficient net, epoch 10 , momentum 0.001,  no HueSaturationValue, no RandomBrightnessContrast"	"{\"accuracy\": {\"value\": \"75.8730%\", \"rank\": false, \"decs\": true}, \"f1\": {\"value\": \"0.6839\", \"rank\": true, \"decs\": true}}"	"2021-04-08T12:42:21.016761+09:00"	false	"75.8730%"	"0.6839"
27	6177	67	"김경민_T1008"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000001/Users/00000067/Submissions/0027/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210408%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210408T131451Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=7d719fb666afafd19f7a8bb63971b4b634cf588a068ea4bda85cd7acbe3f98e0"	"{\"training\": {}, \"inference\": {}}"	"sub21 : vgg16 , momentum 0.001 , epoch 10, no HueSaturationValue, no RandomBrightnessContrast"	"{\"accuracy\": {\"value\": \"75.0952%\", \"rank\": false, \"decs\": true}, \"f1\": {\"value\": \"0.6773\", \"rank\": true, \"decs\": true}}"	"2021-04-08T14:25:03.733021+09:00"	false	"75.0952%"	"0.6773"
21	2411	67	"김경민_T1008"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000001/Users/00000067/Submissions/0021/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210408%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210408T131451Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=8ecfe0dc71fc3c0810d5634e82c15e021eba22a510e0f8cf5056efa52bac8b4f"	"{\"training\": {}, \"inference\": {}}"	"sub15 :  vgg19 , epoch 5, momentum , lr = 0.001 , batch_size = 4"	"{\"accuracy\": {\"value\": \"73.3492%\", \"rank\": false, \"decs\": true}, \"f1\": {\"value\": \"0.6621\", \"rank\": true, \"decs\": true}}"	"2021-04-04T01:52:02.089720+09:00"	false	"73.3492%"	"0.6621"
20	2393	67	"김경민_T1008"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000001/Users/00000067/Submissions/0020/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210408%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210408T131451Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=ff4f2b1f5f1c2b86a7dd7fa49f7105421d3138545a6e75f494a0df9e9aba4c77"	"{\"training\": {}, \"inference\": {}}"	"resnet152, epoch5 ,  momentum lr 0.001 batch 4"	"{\"accuracy\": {\"value\": \"71.7460%\", \"rank\": false, \"decs\": true}, \"f1\": {\"value\": \"0.6608\", \"rank\": true, \"decs\": true}}"	"2021-04-04T01:15:15.286984+09:00"	false	"71.7460%"	"0.6608"
23	5488	67	"김경민_T1008"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000001/Users/00000067/Submissions/0023/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210408%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210408T131451Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=5fb13e63dfc8d215606f303cb1455cc34662aa5f50de098c176422fbe6194fd4"	"{\"training\": {}, \"inference\": {}}"	"sub17 efficient adam lr 0.0001 epoch 8"	"{\"accuracy\": {\"value\": \"72.0476%\", \"rank\": false, \"decs\": true}, \"f1\": {\"value\": \"0.6524\", \"rank\": true, \"decs\": true}}"	"2021-04-08T00:42:06.028054+09:00"	false	"72.0476%"	"0.6524"
26	6093	67	"김경민_T1008"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000001/Users/00000067/Submissions/0026/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210408%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210408T131451Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=d4a78f91130d7a06b40f42365f6c632b48ef0d270ff8053713c2605e560fa6ca"	"{\"training\": {}, \"inference\": {}}"	"sub20 : vgg16 , momentum 0.001 , epoch 5, no HueSaturationValue, no RandomBrightnessContrast"	"{\"accuracy\": {\"value\": \"72.8571%\", \"rank\": false, \"decs\": true}, \"f1\": {\"value\": \"0.6445\", \"rank\": true, \"decs\": true}}"	"2021-04-08T13:33:43.303326+09:00"	false	"72.8571%"	"0.6445"
